Main_Type,Secondary_Type,Sub_Type,Urgency_Level,Duration,Location,Weight,Extras
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,1,0:30,Tel Aviv,1,
כניסה לישראל,אי מתן מענה,,1,,,1,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,2,0:30,Tel Aviv,2,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,1,0:30,Tel Aviv,1,
הרחקה מישראל,אי מתן מענה,,2,,,2,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,4,0:15,,4,
אשרת תייר,סירוב מתן אשרת תייר )כאשר העורר מצוי בארצו(,,4,0:15,,4,
אשרת תייר,אי מתן מענה,,3,,,3,
איחוד משפחות,בקשה לשדרוג מעמד,not from jerusalem,4,0:30,/ Not Jersualem,4,
איחוד משפחות,בקשה לשדרוג מעמד,got from jerusalem orer live in jerusalem,4,0:30,Jerusalem,4,
איחוד משפחות,בקשה לשדרוג מעמד,got from jerusalem orer not live in jerusalem,4,0:35,Jerusalem,4,
איחוד משפחות,הסדרת מעמד לבן זוג זר אשר הינו ידוע בציבור של אזרח ישראלי לפי נוהל מס' 0009.2.5,not from jerusalem,4,0:30,/ Not Jersualem,4,
איחוד משפחות,הסדרת מעמד לבן זוג זר אשר הינו ידוע בציבור של אזרח ישראלי לפי נוהל מס' 0009.2.5,got from jerusalem orer live in jerusalem,4,0:30,Jerusalem,4,
איחוד משפחות,הסדרת מעמד לבן זוג זר אשר הינו ידוע בציבור של אזרח ישראלי לפי נוהל מס' 0009.2.5,got from jerusalem orer not live in jerusalem,4,0:35,Jerusalem,4,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לאזרח ישראלי לפי נוהל מס' 0008.2.5,not from jerusalem,4,0:30,/ Not Jersualem,4,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לאזרח ישראלי לפי נוהל מס' 0008.2.5,got from jerusalem orer live in jerusalem,4,0:30,Jerusalem,4,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לאזרח ישראלי לפי נוהל מס' 0008.2.5,got from jerusalem orer not live in jerusalem,4,0:35,Jerusalem,4,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לתושב קבע לפי נוהל מס' 0011.2.5,not from jerusalem,4,0:30,/ Not Jersualem,4,
