ID Case,ID judge,Location
2,1,Jerusalem
4,1,Haifa
11,1,Haifa
13,1,Haifa
18,1,Haifa
21,1,Haifa
24,1,Haifa
29,1,Haifa
38,1,Haifa
44,1,Haifa
46,1,Haifa
47,1,Haifa
52,1,Haifa
55,1,Haifa
58,1,Haifa
63,1,Haifa
72,1,Haifa
78,1,Haifa
80,1,Haifa
81,1,Haifa
86,1,Haifa
89,1,Haifa
92,1,Haifa
97,1,Haifa
106,1,Haifa
112,1,Haifa
114,1,Haifa
115,1,Haifa
120,1,Haifa
123,1,Haifa
126,1,Haifa
131,1,Haifa
140,1,Haifa
146,1,Haifa
148,1,Haifa
149,1,Haifa
154,1,Haifa
157,1,Haifa
160,1,Haifa
165,1,Haifa
174,1,Haifa
180,1,Haifa
182,1,Haifa
183,1,Haifa
188,1,Haifa
191,1,Haifa
194,1,Haifa
199,1,Haifa
208,1,Haifa
214,1,Haifa
216,1,Haifa
217,1,Haifa
222,1,Haifa
225,1,Haifa
228,1,Haifa
233,1,Haifa
242,1,Haifa
248,1,Haifa
250,1,Haifa
251,1,Haifa
256,1,Haifa
259,1,Haifa
262,1,Haifa
267,1,Haifa
276,1,Haifa
282,1,Haifa
284,1,Haifa
285,1,Haifa
290,1,Haifa
293,1,Haifa
296,1,Haifa
301,1,Haifa
310,1,Haifa
316,1,Haifa
318,1,Haifa
319,1,Haifa
324,1,Haifa
327,1,Haifa
330,1,Haifa
335,1,Haifa
344,1,Haifa
350,1,Haifa
352,1,Haifa
353,1,Haifa
358,1,Haifa
361,1,Haifa
364,1,Haifa
369,1,Haifa
378,1,Haifa
384,1,Haifa
386,1,Haifa
387,1,Haifa
392,1,Haifa
395,1,Haifa
398,1,Haifa
403,1,Haifa
412,1,Haifa
418,1,Haifa
420,1,Haifa
421,1,Haifa
426,1,Haifa
429,1,Haifa
432,1,Haifa
437,1,Haifa
3,2,Jerusalem
36,2,Jerusalem
62,2,Jerusalem
94,2,Jerusalem
118,2,Jerusalem
150,2,Jerusalem
177,2,Jerusalem
207,2,Jerusalem
240,2,Jerusalem
266,2,Jerusalem
298,2,Jerusalem
322,2,Jerusalem
354,2,Jerusalem
381,2,Jerusalem
411,2,Jerusalem
7,3,Jerusalem
37,3,Jerusalem
70,3,Jerusalem
96,3,Jerusalem
128,3,Jerusalem
152,3,Jerusalem
184,3,Jerusalem
211,3,Jerusalem
241,3,Jerusalem
274,3,Jerusalem
300,3,Jerusalem
332,3,Jerusalem
356,3,Jerusalem
388,3,Jerusalem
415,3,Jerusalem
5,4,Beer Sheva
10,4,Beer Sheva
12,4,Beer Sheva
15,4,Beer Sheva
19,4,Beer Sheva
22,4,Beer Sheva
27,4,Beer Sheva
32,4,Beer Sheva
39,4,Beer Sheva
40,4,Beer Sheva
45,4,Beer Sheva
49,4,Beer Sheva
53,4,Beer Sheva
56,4,Beer Sheva
61,4,Beer Sheva
66,4,Beer Sheva
